experiment,cell_name,numSites,simulation_paramstrueBrlen,estBrlen,simulation_params,trueBrlen
s20c6,b'216_2',k10,,0.19223587714308848,sigma15_spalin,0.09
s20c6,b'216_1',k10,,0.19223587714308848,sigma15_spalin,0.09
s20c6,b'104_3',k10,,0.005000000002013081,sigma15_spalin,0.342
s20c6,b'166_5',k10,,0.13717217355552014,sigma15_spalin,0.372
s20c6,b'216_9',k10,,0.6928348466988932,sigma15_spalin,0.3
s20c6,b'216_8',k10,,0.6928348466988932,sigma15_spalin,0.3
s20c6,b'157_6',k10,,0.37653658327935213,sigma15_spalin,0.318
s20c6,b'216_11',k10,,0.4534704369750611,sigma15_spalin,0.354
s20c6,b'216_10',k10,,0.4534704369750611,sigma15_spalin,0.354
s20c6,b'46_2',k10,,0.08720089601307306,sigma15_spalin,0.27
s20c6,b'176_10',k10,,1.03659050717086,sigma15_spalin,0.78
s20c6,b'216_13',k10,,0.09532102623333796,sigma15_spalin,0.24
s20c6,b'216_12',k10,,0.09532102623333796,sigma15_spalin,0.24
s20c6,b'89_4',k10,,0.46936377856760403,sigma15_spalin,0.258
s20c6,b'216_16',k10,,0.6625477548365942,sigma15_spalin,0.762
s20c6,b'216_19',k10,,0.6625477548365942,sigma15_spalin,0.762
s20c6,b'1_1',k10,,0.005,sigma3_spalin,0.0
s20c6,b'47_1',k10,,0.47414883146630227,sigma3_spalin,0.276
s20c6,b'156_1',k10,,0.6833142862589744,sigma3_spalin,0.654
s20c6,b'210_3',k10,,0.11806375298879787,sigma3_spalin,0.324
s20c6,b'216_4',k10,,0.03481248866733425,sigma3_spalin,0.036000000000000004
s20c6,b'216_3',k10,,0.03481248866733425,sigma3_spalin,0.036000000000000004
s20c6,b'201_1',k10,,0.017829733641143323,sigma3_spalin,0.27
s20c6,b'216_2',k10,,0.1350465080149888,sigma3_spalin,0.09
s20c6,b'216_1',k10,,0.1350465080149888,sigma3_spalin,0.09
s20c6,b'104_3',k10,,0.005000000084724582,sigma3_spalin,0.342
s20c6,b'166_5',k10,,0.15216444973700702,sigma3_spalin,0.372
s20c6,b'216_9',k10,,0.6790260780933749,sigma3_spalin,0.3
s20c6,b'216_8',k10,,0.6790260780933749,sigma3_spalin,0.3
s20c6,b'157_6',k10,,0.763430569508654,sigma3_spalin,0.318
s20c6,b'216_11',k10,,0.067759958321728,sigma3_spalin,0.354
s20c6,b'216_10',k10,,0.067759958321728,sigma3_spalin,0.354
s20c6,b'46_2',k10,,0.07578384677182883,sigma3_spalin,0.27
s20c6,b'176_10',k10,,1.1038828530663465,sigma3_spalin,0.78
s20c6,b'216_13',k10,,0.13067265954323332,sigma3_spalin,0.24
s20c6,b'216_12',k10,,0.13067265954323332,sigma3_spalin,0.24
s20c6,b'89_4',k10,,0.3608951224189186,sigma3_spalin,0.258
s20c6,b'216_16',k10,,0.8736603901906612,sigma3_spalin,0.762
s20c6,b'216_19',k10,,0.8736603901906612,sigma3_spalin,0.762
s20c6,b'1_1',k50,,0.005,sigma05_spalin,0.0
s20c6,b'47_1',k50,,0.2689359308161325,sigma05_spalin,0.276
s20c6,b'156_1',k50,,0.6257529982802976,sigma05_spalin,0.654
s20c6,b'210_3',k50,,0.4182793234752977,sigma05_spalin,0.324
s20c6,b'216_4',k50,,0.01762909545544683,sigma05_spalin,0.036000000000000004
s20c6,b'216_3',k50,,0.01762909545544683,sigma05_spalin,0.036000000000000004
s20c6,b'201_1',k50,,0.3611259026397173,sigma05_spalin,0.27
s20c6,b'216_2',k50,,0.07478251629102728,sigma05_spalin,0.09
s20c6,b'216_1',k50,,0.07478251629102728,sigma05_spalin,0.09
s20c6,b'104_3',k50,,0.2338455519851353,sigma05_spalin,0.342
s20c6,b'166_5',k50,,0.3415944425413284,sigma05_spalin,0.372
s20c6,b'216_9',k50,,0.48622142268457835,sigma05_spalin,0.3
s20c6,b'216_8',k50,,0.48622142268457835,sigma05_spalin,0.3
s20c6,b'157_6',k50,,0.3675095681306251,sigma05_spalin,0.318
s20c6,b'216_11',k50,,0.4603062970952817,sigma05_spalin,0.354
s20c6,b'216_10',k50,,0.4603062970952817,sigma05_spalin,0.354
s20c6,b'46_2',k50,,0.41705126806105564,sigma05_spalin,0.27
s20c6,b'176_10',k50,,0.7531042861936935,sigma05_spalin,0.78
s20c6,b'216_13',k50,,0.16044179377242523,sigma05_spalin,0.24
s20c6,b'216_12',k50,,0.16044179377242523,sigma05_spalin,0.24
s20c6,b'89_4',k50,,0.18690258513771138,sigma05_spalin,0.258
s20c6,b'216_16',k50,,0.7266434948284074,sigma05_spalin,0.762
s20c6,b'216_19',k50,,0.7266434948284074,sigma05_spalin,0.762
s20c6,b'1_1',k50,,0.005,sigma15_spalin,0.0
s20c6,b'47_1',k50,,0.24186454396889595,sigma15_spalin,0.276
s20c6,b'156_1',k50,,0.6002919084628616,sigma15_spalin,0.654
s20c6,b'210_3',k50,,0.43021106659192265,sigma15_spalin,0.324
s20c6,b'216_4',k50,,0.03816388370927731,sigma15_spalin,0.036000000000000004
s20c6,b'216_3',k50,,0.03816388370927731,sigma15_spalin,0.036000000000000004
s20c6,b'201_1',k50,,0.3441920550261391,sigma15_spalin,0.27
s20c6,b'216_2',k50,,0.12418289527506086,sigma15_spalin,0.09
s20c6,b'216_1',k50,,0.12418289527506086,sigma15_spalin,0.09
s20c6,b'104_3',k50,,0.2447771651822148,sigma15_spalin,0.342
s20c6,b'166_5',k50,,0.34358252177915327,sigma15_spalin,0.372
s20c6,b'216_9',k50,,0.4803071718026937,sigma15_spalin,0.3
s20c6,b'216_8',k50,,0.4803071718026937,sigma15_spalin,0.3
