model treeID cellID true_x true_y estimated_x estimated_y
Gaussian s13c3 105_3 305.0 240.0 326.88164970209743 265.30428264884495
Gaussian s13c3 175_5 287.0 253.0 296.42070518113894 269.3230695502913
Gaussian s13c3 149_6 326.0 211.0 329.2198098712279 270.52507701595147
Gaussian s13c3 85_1 346.0 239.0 351.3306958752478 254.0360804802998
Gaussian s13c3 137_1 326.0 268.0 331.91008958671665 255.67200650074216
Gaussian s13c3 190_3 336.0 248.0 326.76259340344535 241.07933461378363
Gaussian s13c3 184_1 305.0 276.0 318.9216100537686 270.0913032382829
Gaussian s13c3 131_2 372.0 245.0 368.510462976641 252.58891515452473
Gaussian s13c3 181_5 392.0 241.0 392.5767866976469 239.93045948450563
Gaussian s13c3 176_3 370.0 265.0 363.65706553127416 262.5658200475458
Gaussian s13c4 36_1 406.0 184.0 368.4902724523457 177.91625289936718
Gaussian s13c4 105_3 366.0 183.0 365.1056065082506 189.89587471097462
Gaussian s13c4 167_5 378.0 203.0 370.16487251283905 199.1253988304505
Gaussian s13c4 215_10 352.0 204.0 353.6718028094118 203.45490101887128
Gaussian s13c4 82_1 423.0 167.0 390.0542522204148 166.45631558840097
Gaussian s13c4 138_3 402.0 153.0 381.9286549566912 158.26812214765727
Gaussian s13c4 198_5 366.0 184.0 362.8602593421743 181.0784507149109
Gaussian s13c4 194_6 408.0 133.0 391.6002269331898 128.79028871081027
Gaussian s13c4 136_1 457.0 147.0 423.20388670087027 160.89910366231996
Gaussian s13c4 191_3 447.0 142.0 438.519238277952 146.72205623376792
Gaussian s13c4 180_1 456.0 153.0 437.96241871961877 167.71264299874218
Gaussian s13c4 32_2 376.0 153.0 353.7997560787295 180.5591506590736
Gaussian s13c4 83_6 405.0 152.0 366.64511554547755 175.27186396954397
Gaussian s13c4 141_9 376.0 151.0 355.9745748199913 174.65042847166694
Gaussian s13c4 211_16 324.0 179.0 323.6542956834483 182.22932511971283
Gaussian s13c4 203_16 378.0 165.0 373.1946676836486 167.2733983221288
Gaussian s13c4 139_10 414.0 158.0 391.0524150248337 170.06622252746266
Gaussian s13c4 203_17 403.0 182.0 401.89844961221854 175.90681484295752
Gaussian s13c4 193_16 419.0 157.0 405.4366835540001 160.1184970849829
Gaussian s13c4 78_3 374.0 174.0 342.2137455793105 185.32807590845354
Gaussian s13c4 158_7 357.0 162.0 340.5889781816539 181.05058900316777
Gaussian s13c4 152_8 359.0 186.0 325.07829070568096 196.95650061006114
Gaussian s13c4 204_14 318.0 186.0 310.6632714523132 188.0299828217312
Gaussian s14c1 42_1 74.0 370.0 51.10491637100833 322.0766683561399
Gaussian s14c1 96_1 71.0 383.0 56.7280412014986 356.73796517780613
Gaussian s14c1 155_3 43.0 388.0 45.04139951559487 385.9162898091986
Gaussian s14c1 154_1 96.0 373.0 74.25625681047177 365.28298871146256
Gaussian s14c1 92_2 58.0 343.0 51.10491637100834 322.07666835614003
Gaussian s14c1 156_6 40.0 330.0 33.43436391282309 315.77506335529625
Gaussian s14c1 156_5 81.0 342.0 68.77546882919395 328.37827335698483
Gaussian s14c2 58_1 130.0 183.0 127.56345600603655 216.7949018251557
Gaussian s14c2 115_3 136.0 158.0 140.3204027386521 189.0362512215534
Gaussian s14c2 166_5 129.0 163.0 132.07531696119202 181.33620269090267
Gaussian s14c2 206_9 140.0 179.0 135.56392410679948 185.03735585454513
