sample size dtype nodeName trueTime dvalue
s12c2 7 brlen 216_4 23.0 0.14745980958718746
s12c2 7 nMus 147_1 146.0 2.958
s12c2 7 nMus 193_2 46.0 0.037
s12c2 7 nMus 200_1 53.0 2.02
s12c2 7 nMus 216_1 16.0 1.022
s12c2 7 nMus 216_2 16.0 0.022
s12c2 7 nMus 216_3 23.0 1.005
s12c2 7 nMus 216_4 23.0 0.005
s12c3 7 brlen 135_5 134.0 0.5107154663121775
s12c3 7 brlen 184_2 49.0 0.005
s12c3 7 brlen 185_4 50.0 0.05720748473496138
s12c3 7 brlen 216_1 32.0 0.057207484735139084
s12c3 7 brlen 216_2 32.0 0.057207484735139084
s12c3 7 brlen 216_3 31.0 0.005
s12c3 7 brlen 216_4 31.0 0.005
s12c3 7 nMus 135_5 134.0 3.999
s12c3 7 nMus 184_2 49.0 0.001
s12c3 7 nMus 185_4 50.0 0.001
s12c3 7 nMus 216_1 32.0 1
s12c3 7 nMus 216_2 32.0 0
s12c3 7 nMus 216_3 31.0 0
s12c3 7 nMus 216_4 31.0 0
s12c4 39 brlen 106_1 105.0 0.484935357613681
s12c4 39 brlen 136_6 45.0 0.005000000000009661
s12c4 39 brlen 138_5 47.0 0.4444173289423105
s12c4 39 brlen 139_4 48.0 0.66133039736339
s12c4 39 brlen 153_1 47.0 0.37938560346424405
s12c4 39 brlen 182_10 44.0 0.543517091498683
s12c4 39 brlen 183_9 45.0 0.3488449040629711
s12c4 39 brlen 186_13 50.0 0.473024890181487
s12c4 39 brlen 187_8 48.0 0.4095866888103839
s12c4 39 brlen 188_16 52.0 0.9829344204409819
s12c4 39 brlen 190_7 51.0 0.07466460399253001
s12c4 39 brlen 195_2 42.0 0.2385595653094417
s12c4 39 brlen 196_1 43.0 0.390413468984027
s12c4 39 brlen 198_6 92.0 0.7493407169309234
s12c4 39 brlen 203_8 112.0 0.9566813304884496
s12c4 39 brlen 216_1 20.0 0.1832061028897268
s12c4 39 brlen 216_10 13.0 0.4712592024631959
s12c4 39 brlen 216_11 26.0 0.6919455315957255
s12c4 39 brlen 216_12 26.0 0.6919455315957255
s12c4 39 brlen 216_13 29.0 0.3570234467778715
s12c4 39 brlen 216_14 29.0 0.3570234467778715
s12c4 39 brlen 216_15 33.0 0.19967218743572152
s12c4 39 brlen 216_16 33.0 0.19967218743572152
s12c4 39 brlen 216_17 34.0 0.00500000000000954
s12c4 39 brlen 216_18 34.0 0.00500000000000954
s12c4 39 brlen 216_19 30.0 0.5149095302595065
s12c4 39 brlen 216_2 20.0 0.1832061028897268
s12c4 39 brlen 216_20 30.0 0.5149095302595065
s12c4 39 brlen 216_21 28.0 0.005000000000011556
s12c4 39 brlen 216_22 28.0 0.005000000000011556
s12c4 39 brlen 216_3 21.0 0.3350600065643121
s12c4 39 brlen 216_4 21.0 0.3350600065643121
s12c4 39 brlen 216_7 18.0 0.20366445840707442
s12c4 39 brlen 216_8 18.0 0.20366445840707442
s12c4 39 brlen 216_9 13.0 0.4712592024631959
s12c4 39 brlen 44_2 43.0 0.005000000000026349
s12c4 39 brlen 91_3 47.0 0.005000000000007276
s12c4 39 brlen 91_4 47.0 0.4400061125106496
s12c4 39 brlen virtual 0 0.005000000000046756
s12c4 39 nMus 106_1 105.0 3.486
s12c4 39 nMus 136_6 45.0 0.005
s12c4 39 nMus 138_5 47.0 2.819
s12c4 39 nMus 139_4 48.0 3.83
s12c4 39 nMus 153_1 47.0 1.391
s12c4 39 nMus 182_10 44.0 2.323
s12c4 39 nMus 183_9 45.0 1.273
s12c4 39 nMus 186_13 50.0 1.885
s12c4 39 nMus 187_8 48.0 1.047
s12c4 39 nMus 188_16 52.0 4.138
s12c4 39 nMus 190_7 51.0 0.437
s12c4 39 nMus 195_2 42.0 0.976
s12c4 39 nMus 196_1 43.0 1.09
s12c4 39 nMus 198_6 92.0 4.446
s12c4 39 nMus 203_8 112.0 8.591
s12c4 39 nMus 216_1 20.0 1.032
s12c4 39 nMus 216_10 13.0 1.378
s12c4 39 nMus 216_11 26.0 1.703
s12c4 39 nMus 216_12 26.0 4.703
s12c4 39 nMus 216_13 29.0 2.093
s12c4 39 nMus 216_14 29.0 0.093
s12c4 39 nMus 216_15 33.0 0.05
s12c4 39 nMus 216_16 33.0 1.05
s12c4 39 nMus 216_17 34.0 0
s12c4 39 nMus 216_18 34.0 0
s12c4 39 nMus 216_19 30.0 2.252
s12c4 39 nMus 216_2 20.0 0.032
s12c4 39 nMus 216_20 30.0 1.252
s12c4 39 nMus 216_21 28.0 0
s12c4 39 nMus 216_22 28.0 0
s12c4 39 nMus 216_3 21.0 0.147
s12c4 39 nMus 216_4 21.0 2.147
s12c4 39 nMus 216_7 18.0 1.068
s12c4 39 nMus 216_8 18.0 0.068
s12c4 39 nMus 216_9 13.0 1.378
s12c4 39 nMus 44_2 43.0 0
s12c4 39 nMus 91_3 47.0 0.03
s12c4 39 nMus 91_4 47.0 2.857
s12c4 39 nMus virtual 0 0
s13c1 77 brlen 116_6 49.0 0.005000000000057337
s13c1 77 brlen 117_5 50.0 0.5966664751508296
s13c1 77 brlen 126_1 50.0 0.4087559342138782
s13c1 77 brlen 130_3 54.0 0.24607840582962712
s13c1 77 brlen 131_6 56.0 1.0088238511190508
s13c1 77 brlen 140_5 65.0 0.24570100068230313
s13c1 77 brlen 155_10 38.0 0.00500000000005244
s13c1 77 brlen 156_9 39.0 0.16915007390776232
s13c1 77 brlen 158_13 42.0 0.00500000000006447
s13c1 77 brlen 163_15 47.0 0.015196000034614573
s13c1 77 brlen 163_19 89.0 0.8697854610977567
s13c1 77 brlen 170_17 96.0 0.0050000000000980215
s13c1 77 brlen 174_1 48.0 0.31243408227565983
s13c1 77 brlen 177_3 51.0 0.005000000000054262
s13c1 77 brlen 180_9 49.0 0.2904123287765565
s13c1 77 brlen 185_11 54.0 0.29041232877651824
s13c1 77 brlen 185_6 55.0 1.0078695179318178
s13c1 77 brlen 187_5 57.0 1.0078695179318078
s13c1 77 brlen 188_17 33.0 0.30428484611345463
s13c1 77 brlen 191_15 35.0 0.3389035629989929
s13c1 77 brlen 191_16 35.0 0.33890356299900204
s13c1 77 brlen 191_19 36.0 0.005000000000055558
s13c1 77 brlen 191_9 51.0 0.3287640015423853
s13c1 77 brlen 192_24 34.0 0.7841340061827231
s13c1 77 brlen 196_27 38.0 0.20766534545701779
s13c1 77 brlen 197_29 34.0 0.44413004463678785
s13c1 77 brlen 197_37 34.0 0.0050000000000917505
s13c1 77 brlen 198_37 35.0 0.2349346509598079
s13c1 77 brlen 199_31 36.0 1.0845241120229783
s13c1 77 brlen 205_34 35.0 0.005000000000083403
s13c1 77 brlen 211_33 41.0 0.2855720985429453
s13c1 77 brlen 216_1 42.0 0.5377579072719109
s13c1 77 brlen 216_10 25.0 0.7297711776709173
s13c1 77 brlen 216_12 76.0 1.0585351792133026
