sample,cellID,trueBrlen,method,estBrlen
s7c5/k10_r1,b'16_11',0.054,problin,0.16370702124630113
s7c5/k10_r1,b'16_10',0.054,spalin,0.1805092233741953
s7c5/k10_r1,b'16_10',0.054,problin,0.16370702124630113
s7c5/k10_r2,b'irtual',0.0,spalin,0.005
s7c5/k10_r2,b'irtual',0.0,problin,0.005000014828387779
s7c5/k10_r2,b'86_2',1.11,spalin,0.9563051341414919
s7c5/k10_r2,b'86_2',1.11,problin,1.0333148406293395
s7c5/k10_r2,b'16_4',0.18,spalin,0.19872998452041885
s7c5/k10_r2,b'16_4',0.18,problin,0.15834730180064743
s7c5/k10_r2,b'16_3',0.18,spalin,0.19872998452041885
s7c5/k10_r2,b'16_3',0.18,problin,0.15834730180064743
s7c5/k10_r2,b'5_2',0.264,spalin,0.40428701784783
s7c5/k10_r2,b'5_2',0.264,problin,0.39002678326828644
s7c5/k10_r2,b'59_8',0.684,spalin,0.4866813679301547
s7c5/k10_r2,b'59_8',0.684,problin,0.5956694414808569
s7c5/k10_r2,b'08_10',0.294,spalin,0.11148603327006477
s7c5/k10_r2,b'08_10',0.294,problin,0.005000040058832478
s7c5/k10_r2,b'16_13',0.048,spalin,0.15258069961386123
s7c5/k10_r2,b'16_13',0.048,problin,0.20096587762201126
s7c5/k10_r2,b'16_12',0.048,spalin,0.15258069961386123
s7c5/k10_r2,b'16_12',0.048,problin,0.20096587762201126
s7c5/k10_r2,b'05_10',0.276,spalin,0.22741669734990658
s7c5/k10_r2,b'05_10',0.276,problin,0.2009659270974099
s7c5/k10_r2,b'16_15',0.066,spalin,0.03665003553401947
s7c5/k10_r2,b'16_15',0.066,problin,0.004999990583433839
s7c5/k10_r2,b'16_14',0.066,spalin,0.03665003553401947
s7c5/k10_r2,b'16_14',0.066,problin,0.004999990583433839
s7c5/k10_r2,b'15_3',0.42,spalin,0.28598446034082
s7c5/k10_r2,b'15_3',0.42,problin,0.2995263871971338
s7c5/k10_r2,b'73_5',0.34800000000000003,spalin,0.31015475207417553
s7c5/k10_r2,b'73_5',0.34800000000000003,problin,0.4921089859662981
s7c5/k10_r2,b'16_5',0.258,spalin,0.15460888839908524
s7c5/k10_r2,b'16_5',0.258,problin,0.009999985998268667
s7c5/k10_r2,b'15_6',0.252,spalin,0.11406602530649383
s7c5/k10_r2,b'15_6',0.252,problin,0.004999994729598996
s7c5/k10_r2,b'16_7',0.006,spalin,0.0405428630925914
s7c5/k10_r2,b'16_7',0.006,problin,0.004999991268669671
s7c5/k10_r2,b'16_6',0.006,spalin,0.0405428630925914
s7c5/k10_r2,b'16_6',0.006,problin,0.004999991268669671
s7c5/k10_r2,b'66_6',0.306,spalin,0.31391526655847246
s7c5/k10_r2,b'66_6',0.306,problin,0.3785826708451632
s7c5/k10_r2,b'10_7',0.264,spalin,0.056139394461953526
s7c5/k10_r2,b'10_7',0.264,problin,0.00499999300847747
s7c5/k10_r2,b'16_9',0.036000000000000004,spalin,0.09470897945283478
s7c5/k10_r2,b'16_9',0.036000000000000004,problin,0.11852630811092607
s7c5/k10_r2,b'16_8',0.036000000000000004,spalin,0.09470897945283478
s7c5/k10_r2,b'16_8',0.036000000000000004,problin,0.11852630811092607
s7c5/k10_r2,b'07_8',0.246,spalin,0.0980740385102193
s7c5/k10_r2,b'07_8',0.246,problin,0.11852629300129226
s7c5/k10_r2,b'16_11',0.054,spalin,0.052774335404568995
s7c5/k10_r2,b'16_11',0.054,problin,0.005000008118111278
s7c5/k10_r2,b'16_10',0.054,spalin,0.052774335404568995
s7c5/k10_r2,b'16_10',0.054,problin,0.005000008118111278
s7c5/k10_r3,b'irtual',0.0,spalin,0.005000002375904763
s7c5/k10_r3,b'irtual',0.0,problin,0.0050000015877332115
s7c5/k10_r3,b'86_2',1.11,spalin,0.8933538347212814
s7c5/k10_r3,b'86_2',1.11,problin,0.9858733918098611
s7c5/k10_r3,b'16_4',0.18,spalin,0.17829432767733575
s7c5/k10_r3,b'16_4',0.18,problin,0.13224747802452014
s7c5/k10_r3,b'16_3',0.18,spalin,0.17829432767733575
s7c5/k10_r3,b'16_3',0.18,problin,0.13224747802452014
s7c5/k10_r3,b'5_2',0.264,spalin,0.43981194331986595
s7c5/k10_r3,b'5_2',0.264,problin,0.43913834390279616
s7c5/k10_r3,b'59_8',0.684,spalin,0.05260022792875631
s7c5/k10_r3,b'59_8',0.684,problin,0.046608629717934856
s7c5/k10_r3,b'08_10',0.294,spalin,0.5113103992363613
s7c5/k10_r3,b'08_10',0.294,problin,0.6273738967199299
s7c5/k10_r3,b'16_13',0.048,spalin,0.06792559191363359
s7c5/k10_r3,b'16_13',0.048,problin,0.004999999493720369
s7c5/k10_r3,b'16_12',0.048,spalin,0.06792559191363359
s7c5/k10_r3,b'16_12',0.048,problin,0.004999999493720369
s7c5/k10_r3,b'05_10',0.276,spalin,0.541950170804294
s7c5/k10_r3,b'05_10',0.276,problin,0.6273738967199299
s7c5/k10_r3,b'16_15',0.066,spalin,0.03728582034570105
s7c5/k10_r3,b'16_15',0.066,problin,0.004999999493720362
s7c5/k10_r3,b'16_14',0.066,spalin,0.03728582034570105
