experiment,cell_name,method,trueBrlen,estBrlen
s20c1_,b'216_4',spalin,0.027906976744186046,0.8835933592057444
s20c1_,b'216_3',spalin,0.027906976744186046,0.8835933592057444
s20c1_,b'210_1',spalin,0.16744186046511628,0.6542396911347524
s20c1_,b'216_2',spalin,0.027906976744186046,0.23429481417267567
s20c1_,b'216_1',spalin,0.027906976744186046,0.23429481417267567
s20c1_,b'103_1',spalin-divide-beta3,0.4744186046511628,0.10147591367044903
s20c1_,b'147_3',spalin-divide-beta3,0.20465116279069767,0.277502273603625
s20c1_,b'190_5',spalin-divide-beta3,0.2,0.5231794287831745
s20c1_,b'216_9',spalin-divide-beta3,0.12093023255813953,0.09784238392385201
s20c1_,b'216_8',spalin-divide-beta3,0.12093023255813953,0.09784238392385201
s20c1_,b'185_6',spalin-divide-beta3,0.17674418604651163,0.004937043435262283
s20c1_,b'216_11',spalin-divide-beta3,0.14418604651162792,0.616084769275224
s20c1_,b'216_10',spalin-divide-beta3,0.14418604651162792,0.616084769275224
s20c1_,b'136_1',spalin-divide-beta3,0.15348837209302324,0.004937043435262283
s20c1_,b'216_7',spalin-divide-beta3,0.37209302325581395,0.893587042881428
s20c1_,b'174_1',spalin-divide-beta3,0.17674418604651163,0.004937043435262283
s20c1_,b'210_2',spalin-divide-beta3,0.16744186046511628,0.004937043435262283
s20c1_,b'216_4',spalin-divide-beta3,0.027906976744186046,0.883712956023764
s20c1_,b'216_3',spalin-divide-beta3,0.027906976744186046,0.883712956023764
s20c1_,b'210_1',spalin-divide-beta3,0.16744186046511628,0.6686457955934044
s20c1_,b'216_2',spalin-divide-beta3,0.027906976744186046,0.22000420385649544
s20c1_,b'216_1',spalin-divide-beta3,0.027906976744186046,0.22000420385649544
s20c1_,b'103_1',spalin-divide-beta5,0.4744186046511628,0.10134645784210361
s20c1_,b'147_3',spalin-divide-beta5,0.20465116279069767,0.2795557325074997
s20c1_,b'190_5',spalin-divide-beta5,0.2,0.5310977560688139
s20c1_,b'216_9',spalin-divide-beta5,0.12093023255813953,0.08800005358063236
s20c1_,b'216_8',spalin-divide-beta5,0.12093023255813953,0.08800005358063236
s20c1_,b'185_6',spalin-divide-beta5,0.17674418604651163,0.004932771658559344
