sample,parentID,child1ID,child2ID,frameDiff,angle
s5c7,198_19,208_23,208_24,10,173.6598082540901
s5c7,200_33,210_40,210_41,10,176.6514051855431
s5c7,201_10,211_11,211_12,10,135.62959860841025
s5c7,202_30,212_32,212_33,10,167.29597638594316
s5c7,203_32,213_34,213_35,10,138.45872431880642
s5c7,204_13,214_15,214_16,10,104.03624346792648
s5c7,204_34,214_36,214_37,10,153.89981310118347
s5c7,204_35,214_38,214_39,10,128.30577086810683
s5c7,205_12,215_14,215_15,10,49.0444855741811
s4c4,29_1,39_1,39_2,10,154.65382405805332
s4c4,83_1,93_1,93_2,10,137.86240522611175
s4c4,86_3,96_3,96_4,10,164.51583028608434
s4c4,147_1,157_1,157_2,10,169.38034472384487
s4c4,150_3,160_3,160_4,10,157.83365417791754
s4c4,195_3,205_5,205_6,10,153.434948822922
s4c4,196_1,206_1,206_2,10,178.81269268427118
s4c4,197_3,207_3,207_4,10,153.6717068948291
s4c4,201_7,211_7,211_8,10,176.8778695378843
s2c1,12_2,22_3,22_4,10,179.762259540707
s2c1,19_1,29_1,29_2,10,168.05582281155367
s2c1,52_3,62_3,62_4,10,157.38013505195957
s2c1,59_5,69_5,69_6,10,171.2538377374448
s2c1,69_1,79_1,79_2,10,152.20657258804144
s2c1,84_3,94_3,94_4,10,156.61477894278624
s2c1,104_5,114_5,114_6,10,120.7932338822396
s2c1,114_7,124_8,124_9,10,173.38653951768524
s2c1,116_9,126_11,126_12,10,156.95440185841738
s2c1,120_11,130_13,130_14,10,168.3741013566914
s2c1,123_2,133_3,133_4,10,160.76932762433873
s2c1,125_1,135_1,135_2,10,98.57299836361139
s2c1,152_7,162_7,162_8,10,165.0231640604579
s2c1,156_9,166_9,166_10,10,132.87890360333856
s2c1,160_11,170_12,170_13,10,128.0996718307227
s2c1,160_12,170_14,170_15,10,154.3845156793578
s2c1,163_15,173_16,173_17,10,167.5740571345725
s2c1,164_19,174_22,174_23,10,84.87868348922137
s2c1,167_17,177_19,177_20,10,136.57655005518373
s2c1,168_4,178_7,178_8,10,164.74488129694222
s2c1,170_20,180_21,180_22,10,173.2670786731404
s2c1,172_3,182_5,182_6,10,163.6104596659652
s2c1,175_1,185_1,185_2,10,116.56505117707799
s2c1,177_3,187_3,187_4,10,105.25511870305779
s2c1,198_10,208_11,208_12,10,174.67425937523228
s2c1,199_9,209_9,209_10,10,162.98531672347704
s2c1,202_13,212_13,212_14,10,134.28828779396432
s2c1,202_17,212_21,212_22,10,176.2194314656989
s2c1,202_20,212_27,212_28,10,166.32869286780416
s2c1,203_21,213_27,213_28,10,155.06570489742342
s2c1,204_15,214_19,214_20,10,156.80140948635182
s2c1,205_21,215_29,215_30,10,169.14358665193777
s16c1,2_1,12_1,12_2,10,171.2926297284796
s16c1,44_2,54_3,54_4,10,127.40535663140855
s16c1,49_1,59_1,59_2,10,167.61153684669148
s16c1,93_3,103_3,103_4,10,161.565051177078
s16c1,104_2,114_3,114_4,10,144.7914785611034
s16c1,104_5,114_7,114_8,10,70.01689347809997
s16c1,107_1,117_1,117_2,10,159.07549825507886
s16c1,146_5,156_7,156_8,10,156.46288592471979
s16c1,147_7,157_9,157_10,10,117.40757543781842
s16c1,153_3,163_5,163_6,10,158.19859051364818
s16c1,155_1,165_1,165_2,10,155.22485943116808
s16c1,158_3,168_3,168_4,10,91.00508600525419
s16c1,160_12,170_13,170_14,10,175.2363583092738
s16c1,163_7,173_7,173_8,10,179.53037298031035
s16c1,164_15,174_15,174_16,10,176.26860300083953
s16c1,195_12,205_14,205_15,10,138.17983011986425
s16c1,199_9,209_11,209_12,10,116.2530990172167
s16c1,202_12,212_14,212_15,10,119.74488129694222
s16c1,205_6,215_7,215_8,10,165.96375653207352
s16c1,206_5,216_6,216_7,10,154.65382405805332
s16c4,40_1,50_1,50_2,10,130.6012946450045
