experiment,method,est_sigma
s2c1_,spalin-divide-beta10,1.257154151405948
s2c1_,spalin_spatialonly,3.090217380687936
s2c1_,spalin-divide-beta5_spatialonly,1.540550436539205
s2c6_,spalin,2.800774856737757
s2c6_,spalin-divide-beta1,1.625150597293149
s2c6_,spalin-divide-beta3,1.52476719280067
s2c6_,spalin-divide-beta5,1.420416208299561
s2c6_,spalin-divide-beta7,1.27449098500087
s2c6_,spalin-divide-beta10,1.136466465607403
s2c6_,spalin_spatialonly,2.48756639586707
s2c6_,spalin-divide-beta5_spatialonly,1.379735814964622
s16c7_,spalin,2.444503009249838
s16c7_,spalin-divide-beta1,1.528006253248924
s16c7_,spalin-divide-beta3,1.45468937329446
s16c7_,spalin-divide-beta5,1.37801030429501
s16c7_,spalin-divide-beta7,1.297562626010461
s16c7_,spalin-divide-beta10,1.168792624063235
s16c7_,spalin_spatialonly,3.400931903223844
s16c7_,spalin-divide-beta5_spatialonly,1.649929002805035
s14c3_,spalin,3.51338628331754
s14c3_,spalin-divide-beta1,1.82948356371561
s14c3_,spalin-divide-beta3,1.73703702186856
s14c3_,spalin-divide-beta5,1.64112491523363
s14c3_,spalin-divide-beta7,1.54161880170841
s14c3_,spalin-divide-beta10,1.380386224042568
s14c3_,spalin_spatialonly,3.912765351593859
s14c3_,spalin-divide-beta5_spatialonly,1.551543682944879
s8c1_,spalin,2.72435312763535
s8c1_,spalin-divide-beta1,1.589257101520811
s8c1_,spalin-divide-beta3,1.462132702877776
s8c1_,spalin-divide-beta5,1.330686805218201
s8c1_,spalin-divide-beta7,1.163311799618835
s8c1_,spalin-divide-beta10,1.05177613701
s8c1_,spalin_spatialonly,3.37566559772506
s8c1_,spalin-divide-beta5_spatialonly,1.235073962527355
s14c4_,spalin,5.50336971490105
s14c4_,spalin-divide-beta1,2.30607011979869
s14c4_,spalin-divide-beta3,2.13451397742429
s14c4_,spalin-divide-beta5,1.964009501697226
s14c4_,spalin-divide-beta7,1.863093379749802
s14c4_,spalin-divide-beta10,1.783461790233493
s14c4_,spalin_spatialonly,3.43451130937186
s14c4_,spalin-divide-beta5_spatialonly,1.623073856587964
s16c9_,spalin,1.84882574141921
s16c9_,spalin-divide-beta1,1.310005507723167
s16c9_,spalin-divide-beta3,1.204793520363259
s16c9_,spalin-divide-beta5,1.09011506296893
s16c9_,spalin-divide-beta7,0.963503350322812
s16c9_,spalin-divide-beta10,0.680814501549127
s16c9_,spalin_spatialonly,1.908871061509437
s16c9_,spalin-divide-beta5_spatialonly,1.130137496424311
s2c8_,spalin,1.704831436665245
s2c8_,spalin-divide-beta1,1.256983008651501
s2c8_,spalin-divide-beta3,1.154147870439598
s2c8_,spalin-divide-beta5,1.042655018162405
s2c8_,spalin-divide-beta7,0.920741679615445
s2c8_,spalin-divide-beta10,0.752706235047682
s2c8_,spalin_spatialonly,3.14618627181139
s2c8_,spalin-divide-beta5_spatialonly,1.294890629971675
s8c6_,spalin,3.2921680048421
s8c6_,spalin-divide-beta1,1.770156205895674
s8c6_,spalin-divide-beta3,1.675498382085443
s8c6_,spalin-divide-beta5,1.553598398469644
s8c6_,spalin-divide-beta7,1.45489466632876
s8c6_,spalin-divide-beta10,1.310997047840064
s8c6_,spalin_spatialonly,3.636868798233983
s8c6_,spalin-divide-beta5_spatialonly,1.418539818687415
s12c1_,spalin,2.44186083263846
s12c1_,spalin-divide-beta1,1.522101281562211
s12c1_,spalin-divide-beta3,1.437736327952141
s12c1_,spalin-divide-beta5,1.3484900254255
s12c1_,spalin-divide-beta7,1.25349828714358
s12c1_,spalin-divide-beta10,1.097682946620109
s12c1_,spalin_spatialonly,3.666067356273454
s12c1_,spalin-divide-beta5_spatialonly,1.738528014554869
s4c4_,spalin,1.580859437999872
s4c4_,spalin-divide-beta1,1.215942316841046
s4c4_,spalin-divide-beta3,1.12992797393745
s4c4_,spalin-divide-beta5,1.039594931926499
s4c4_,spalin-divide-beta7,0.945464781654787
s4c4_,spalin-divide-beta10,0.801750532406945
s4c4_,spalin_spatialonly,2.6877983525053
s4c4_,spalin-divide-beta5_spatialonly,1.181897728829991
s10c5_,spalin,2.734805960379744
s10c5_,spalin-divide-beta1,1.60098328003739
s10c5_,spalin-divide-beta3,1.490241738864697
s10c5_,spalin-divide-beta5,1.371778639967943
s10c5_,spalin-divide-beta7,1.244438551721824
s10c5_,spalin-divide-beta10,0.975719730570281
s10c5_,spalin_spatialonly,3.04404686502545
s10c5_,spalin-divide-beta5_spatialonly,1.428495250719991
s18c1_,spalin,2.36018860619344
s18c1_,spalin-divide-beta1,1.489231278901488
s18c1_,spalin-divide-beta3,1.391464873831551
s18c1_,spalin-divide-beta5,1.28863103482923
s18c1_,spalin-divide-beta7,1.181015640622233
s18c1_,spalin-divide-beta10,1.017177482412447
s18c1_,spalin_spatialonly,1.70138392797298
s18c1_,spalin-divide-beta5_spatialonly,1.141735458258136
s10c2_,spalin,2.71048796774665
s10c2_,spalin-divide-beta1,1.605592811165633
s10c2_,spalin-divide-beta3,1.521603774750745
s10c2_,spalin-divide-beta5,1.433885609362223
s10c2_,spalin-divide-beta7,1.342466552739868
s10c2_,spalin-divide-beta10,1.180953887410554
s10c2_,spalin_spatialonly,3.37329080199872
s10c2_,spalin-divide-beta5_spatialonly,1.395410409987855
s4c3_,spalin,2.44634893977779
s4c3_,spalin-divide-beta1,1.509190300059047
s4c3_,spalin-divide-beta3,1.338349445868777
s4c3_,spalin-divide-beta5,1.26956319532948
s4c3_,spalin-divide-beta7,1.133096876415545
s4c3_,spalin-divide-beta10,0.960771147505367
s4c3_,spalin_spatialonly,2.28918657217253
s4c3_,spalin-divide-beta5_spatialonly,1.232768549590151
s20c3_,spalin,2.125392120232
s20c3_,spalin-divide-beta1,1.418847338858695
s20c3_,spalin-divide-beta3,1.337908090397176
s20c3_,spalin-divide-beta5,1.25255453664088
s20c3_,spalin-divide-beta7,1.162574752728306
s20c3_,spalin-divide-beta10,1.020733044851647
s20c3_,spalin_spatialonly,3.05857459922775
s20c3_,spalin-divide-beta5_spatialonly,1.56281002149834
s20c4_,spalin,7.802322210898517
s20c4_,spalin-divide-beta1,2.738349962953065
s20c4_,spalin-divide-beta3,2.62616308874746
s20c4_,spalin-divide-beta5,2.509899918119929
s20c4_,spalin-divide-beta7,2.3897594883983
s20c4_,spalin-divide-beta10,2.06582572961259
s20c4_,spalin_spatialonly,4.301343978902604
s20c4_,spalin-divide-beta5_spatialonly,1.886563743882663
s4c10_,spalin,2.764368454760276
s4c10_,spalin-divide-beta1,1.621728857326229
s4c10_,spalin-divide-beta3,1.53777010897161
s4c10_,spalin-divide-beta5,1.412005592046291
s4c10_,spalin-divide-beta7,1.229264193490462
s4c10_,spalin-divide-beta10,1.197596296991254
s4c10_,spalin_spatialonly,3.805046383019395
s4c10_,spalin-divide-beta5_spatialonly,1.367681721219969
s20c5_,spalin,2.60162403245118
s20c5_,spalin-divide-beta1,1.579510566295223
s20c5_,spalin-divide-beta3,1.511237090382726
s20c5_,spalin-divide-beta5,1.441479441138145
s20c5_,spalin-divide-beta7,1.370824486542014
s20c5_,spalin-divide-beta10,1.26636191237248
s20c5_,spalin_spatialonly,3.650273451553015
s20c5_,spalin-divide-beta5_spatialonly,1.46886127331905
s20c2_,spalin,3.268954471385156
s20c2_,spalin-divide-beta1,1.759773652054493
s20c2_,spalin-divide-beta3,1.66005765450634
s20c2_,spalin-divide-beta5,1.525963817507204
s20c2_,spalin-divide-beta7,1.401721729048734
s20c2_,spalin-divide-beta10,1.216736247844828
s20c2_,spalin_spatialonly,3.79477238378982
s20c2_,spalin-divide-beta5_spatialonly,1.42224032545033
