experiment,character,method,est_sigma
s14c5,k10_,sigma3_spalin,2.78102762890593
s14c5,k10_,sigma05_spalin_spatialonly,0.348770861230977
s14c5,k10_,sigma15_spalin_spatialonly,1.277399875973712
s14c5,k10_,sigma3_spalin_spatialonly,2.559410004652175
s14c5,k50_,sigma05_spalin,0.509920459329274
s14c5,k50_,sigma15_spalin,1.3029034026744
s14c5,k50_,sigma3_spalin,2.782760377354926
s14c5,k200_,sigma05_spalin,0.50071710523433
s14c5,k200_,sigma15_spalin,1.29762899678781
s14c5,k200_,sigma3_spalin,2.726144968382715
s2c9,k10_,sigma05_spalin,0.497565439254069
s2c9,k10_,sigma15_spalin,1.619344122522702
s2c9,k10_,sigma3_spalin,3.00788953177713
s2c9,k10_,sigma05_spalin_spatialonly,0.34372782005462
s2c9,k10_,sigma15_spalin_spatialonly,1.34955033913537
s2c9,k10_,sigma3_spalin_spatialonly,2.585651220030279
s2c9,k50_,sigma05_spalin,0.570284906521961
s2c9,k50_,sigma15_spalin,1.50374828086486
s2c9,k50_,sigma3_spalin,3.5406501247813
s2c9,k200_,sigma05_spalin,0.513091596672035
s2c9,k200_,sigma15_spalin,1.43290577068923
s2c9,k200_,sigma3_spalin,3.2045014542592
s16c8,k10_,sigma05_spalin,0.511280022497632
s16c8,k10_,sigma15_spalin,1.178065448705755
s16c8,k10_,sigma3_spalin,3.1987943945249
s16c8,k10_,sigma05_spalin_spatialonly,0.4805446834175602
s16c8,k10_,sigma15_spalin_spatialonly,1.082464082055598
s16c8,k10_,sigma3_spalin_spatialonly,2.60941974181856
s16c8,k50_,sigma05_spalin,0.4929000105319583
s16c8,k50_,sigma15_spalin,1.274748695072891
s16c8,k50_,sigma3_spalin,3.044895304579568
s16c8,k200_,sigma05_spalin,0.457217827033312
s16c8,k200_,sigma15_spalin,1.098705529707299
s16c8,k200_,sigma3_spalin,2.85280636870717
s14c2,k10_,sigma05_spalin,0.4104657546721365
s14c2,k10_,sigma15_spalin,0.836321748840102
s14c2,k10_,sigma3_spalin,1.434187671636778
s14c2,k10_,sigma05_spalin_spatialonly,0.6530512743509
s14c2,k10_,sigma15_spalin_spatialonly,0.837125382317173
s14c2,k10_,sigma3_spalin_spatialonly,0.998459825163567
s14c2,k50_,sigma05_spalin,0.513085723297159
s14c2,k50_,sigma15_spalin,1.067523412053326
s14c2,k50_,sigma3_spalin,1.789251121392925
s14c2,k200_,sigma05_spalin,0.56609037753414
s14c2,k200_,sigma15_spalin,1.1459762303757
s14c2,k200_,sigma3_spalin,1.89471186333124
s16c6,k10_,sigma05_spalin,0.493298413440867
s16c6,k10_,sigma15_spalin,1.4396796875561
s16c6,k10_,sigma3_spalin,3.099439736512122
s16c6,k10_,sigma05_spalin_spatialonly,0.4807923301312
s16c6,k10_,sigma15_spalin_spatialonly,1.514189435693311
s16c6,k10_,sigma3_spalin_spatialonly,2.658459838669817
s16c6,k50_,sigma05_spalin,0.51838316455077
s16c6,k50_,sigma15_spalin,1.422544276741981
s16c6,k50_,sigma3_spalin,3.311602585199881
s16c6,k200_,sigma05_spalin,0.516509738834579
s16c6,k200_,sigma15_spalin,1.472595463435648
s16c6,k200_,sigma3_spalin,3.3040970583003
s16c1,k10_,sigma05_spalin,0.542273886748912
s16c1,k10_,sigma15_spalin,1.836841434491983
s16c1,k10_,sigma3_spalin,2.570419356259759
s16c1,k10_,sigma05_spalin_spatialonly,0.441031494211191
s16c1,k10_,sigma15_spalin_spatialonly,1.66105504744068
s16c1,k10_,sigma3_spalin_spatialonly,2.822100294662348
s16c1,k50_,sigma05_spalin,0.516980747529954
s16c1,k50_,sigma15_spalin,1.99761867706858
s16c1,k50_,sigma3_spalin,2.500147463793839
s16c1,k200_,sigma05_spalin,0.4941657761435141
s16c1,k200_,sigma15_spalin,1.94872285402554
s16c1,k200_,sigma3_spalin,2.348385368535309
s10c3,k10_,sigma05_spalin,0.409530390973443
s10c3,k10_,sigma15_spalin,1.518039886233845
s10c3,k10_,sigma3_spalin,2.784010264300068
s10c3,k10_,sigma05_spalin_spatialonly,0.4294366798039039
s10c3,k10_,sigma15_spalin_spatialonly,1.675673468263434
