sample,cellID,true_x,true_y,method,est_x,est_y,error
s15c4/k10_r3,206_4,138.0,95.0,problin,124.14374620402577,95.97747806027789,13.890688702032552
s15c4/k10_r3,157_2,127.0,88.0,spalin,109.20808121009927,89.75843659967668,17.878603790606952
s15c4/k10_r3,157_2,127.0,88.0,problin,109.70852732091201,89.96552973088502,17.40282547561284
s15c4/k10_r3,204_1,94.0,97.0,spalin,90.14043062421058,93.8621668407431,4.9741605022218245
s15c4/k10_r3,204_1,94.0,97.0,problin,89.59661332734174,93.98071192471049,5.339093056927346
s15c4/k10_r3,90_1,112.0,77.0,spalin,109.00736331903047,89.80163500399979,13.14677652810441
s15c4/k10_r3,90_1,112.0,77.0,problin,109.51530033308916,90.00410594800292,13.239354362718434
s15c4/k10_r3,191_7,115.0,104.0,spalin,118.83542922086562,111.47279472280175,8.39959393526875
s15c4/k10_r3,191_7,115.0,104.0,problin,118.98038865335221,111.94798574416414,8.888980325165056
s15c4/k10_r3,193_9,139.0,114.0,spalin,143.17709588903904,127.58793905487177,14.21549217667599
s15c4/k10_r3,193_9,139.0,114.0,problin,141.3838759962341,125.58854626963637,11.831198984419297
s15c4/k10_r3,142_4,119.0,105.0,spalin,114.46477071418715,97.47131619986263,8.789162897417786
s15c4/k10_r3,142_4,119.0,105.0,problin,112.23599772722105,94.06015369549027,12.86203576081384
s15c4/k10_r3,194_6,74.0,101.0,spalin,70.15310882325126,104.03419227602416,4.899479002264626
s15c4/k10_r3,194_6,74.0,101.0,problin,68.59375834451193,103.99638930017998,6.181083859305545
s15c4/k10_r3,195_5,80.0,114.0,spalin,78.13205090013378,109.40110391616952,4.963776690138506
s15c4/k10_r3,195_5,80.0,114.0,problin,77.52922261366204,110.94619484285226,3.928163289714562
s15c4/k10_r3,150_3,85.0,112.0,spalin,80.17170019802612,104.24141302086656,9.138279427251062
s15c4/k10_r3,150_3,85.0,112.0,problin,81.57531640989043,103.49646036463557,9.167259351768097
